CSDUID,CSD,Period,IndicatorSummaryDescription,Gender,UnitOfMeasure,OriginalValue
4807044,Sedgewick,2011,Life Expectancy,Female,Years,83.30000
4807044,Sedgewick,2012,Life Expectancy,Female,Years,82.91000
4807044,Sedgewick,2013,Life Expectancy,Female,Years,82.53000
4807044,Sedgewick,2014,Life Expectancy,Female,Years,82.05000
4807044,Sedgewick,2015,Life Expectancy,Female,Years,81.85000
4807044,Sedgewick,2016,Life Expectancy,Female,Years,81.76000
4807044,Sedgewick,2017,Life Expectancy,Female,Years,81.61000
4807044,Sedgewick,2018,Life Expectancy,Female,Years,81.41000
4807044,Sedgewick,2019,Life Expectancy,Female,Years,80.85000
4807044,Sedgewick,2020,Life Expectancy,Female,Years,80.91000
4807044,Sedgewick,2021,Life Expectancy,Female,Years,81.57000
4807044,Sedgewick,2022,Life Expectancy,Female,Years,82.33000
4807044,Sedgewick,2011,Life Expectancy,Male,Years,77.95000
4807044,Sedgewick,2012,Life Expectancy,Male,Years,78.03000
4807044,Sedgewick,2013,Life Expectancy,Male,Years,77.70000
4807044,Sedgewick,2014,Life Expectancy,Male,Years,77.55000
4807044,Sedgewick,2015,Life Expectancy,Male,Years,77.86000
4807044,Sedgewick,2016,Life Expectancy,Male,Years,77.68000
4807044,Sedgewick,2017,Life Expectancy,Male,Years,77.90000
4807044,Sedgewick,2018,Life Expectancy,Male,Years,77.93000
4807044,Sedgewick,2019,Life Expectancy,Male,Years,77.84000
4807044,Sedgewick,2020,Life Expectancy,Male,Years,77.32000
4807044,Sedgewick,2021,Life Expectancy,Male,Years,77.06000
4807044,Sedgewick,2022,Life Expectancy,Male,Years,76.91000
4807044,Sedgewick,2011,Life Expectancy,Both,Years,80.52000
4807044,Sedgewick,2012,Life Expectancy,Both,Years,80.39000
4807044,Sedgewick,2013,Life Expectancy,Both,Years,80.00000
4807044,Sedgewick,2014,Life Expectancy,Both,Years,79.70000
4807044,Sedgewick,2015,Life Expectancy,Both,Years,79.73000
4807044,Sedgewick,2016,Life Expectancy,Both,Years,79.58000
4807044,Sedgewick,2017,Life Expectancy,Both,Years,79.60000
4807044,Sedgewick,2018,Life Expectancy,Both,Years,79.55000
4807044,Sedgewick,2019,Life Expectancy,Both,Years,79.24000
4807044,Sedgewick,2020,Life Expectancy,Both,Years,78.98000
4807044,Sedgewick,2021,Life Expectancy,Both,Years,79.14000
4807044,Sedgewick,2022,Life Expectancy,Both,Years,79.40000
4807046,Lougheed,2011,Life Expectancy,Female,Years,83.30000
4807046,Lougheed,2012,Life Expectancy,Female,Years,82.91000
4807046,Lougheed,2013,Life Expectancy,Female,Years,82.53000
4807046,Lougheed,2014,Life Expectancy,Female,Years,82.05000
4807046,Lougheed,2015,Life Expectancy,Female,Years,81.85000
4807046,Lougheed,2016,Life Expectancy,Female,Years,81.76000
4807046,Lougheed,2017,Life Expectancy,Female,Years,81.61000
4807046,Lougheed,2018,Life Expectancy,Female,Years,81.41000
4807046,Lougheed,2019,Life Expectancy,Female,Years,80.85000
4807046,Lougheed,2020,Life Expectancy,Female,Years,80.91000
4807046,Lougheed,2021,Life Expectancy,Female,Years,81.57000
4807046,Lougheed,2022,Life Expectancy,Female,Years,82.33000
4807046,Lougheed,2011,Life Expectancy,Male,Years,77.95000
4807046,Lougheed,2012,Life Expectancy,Male,Years,78.03000
4807046,Lougheed,2013,Life Expectancy,Male,Years,77.70000
4807046,Lougheed,2014,Life Expectancy,Male,Years,77.55000
4807046,Lougheed,2015,Life Expectancy,Male,Years,77.86000
4807046,Lougheed,2016,Life Expectancy,Male,Years,77.68000
4807046,Lougheed,2017,Life Expectancy,Male,Years,77.90000
4807046,Lougheed,2018,Life Expectancy,Male,Years,77.93000
4807046,Lougheed,2019,Life Expectancy,Male,Years,77.84000
4807046,Lougheed,2020,Life Expectancy,Male,Years,77.32000
4807046,Lougheed,2021,Life Expectancy,Male,Years,77.06000
4807046,Lougheed,2022,Life Expectancy,Male,Years,76.91000
4807046,Lougheed,2011,Life Expectancy,Both,Years,80.52000
4807046,Lougheed,2012,Life Expectancy,Both,Years,80.39000
4807046,Lougheed,2013,Life Expectancy,Both,Years,80.00000
4807046,Lougheed,2014,Life Expectancy,Both,Years,79.70000
4807046,Lougheed,2015,Life Expectancy,Both,Years,79.73000
4807046,Lougheed,2016,Life Expectancy,Both,Years,79.58000
4807046,Lougheed,2017,Life Expectancy,Both,Years,79.60000
4807046,Lougheed,2018,Life Expectancy,Both,Years,79.55000
4807046,Lougheed,2019,Life Expectancy,Both,Years,79.24000
4807046,Lougheed,2020,Life Expectancy,Both,Years,78.98000
4807046,Lougheed,2021,Life Expectancy,Both,Years,79.14000
4807046,Lougheed,2022,Life Expectancy,Both,Years,79.40000
4808011,Red Deer,2011,Life Expectancy,Female,Years,82.48130
4808011,Red Deer,2012,Life Expectancy,Female,Years,82.45398
4808011,Red Deer,2013,Life Expectancy,Female,Years,82.60659
4808011,Red Deer,2014,Life Expectancy,Female,Years,82.59747
4808011,Red Deer,2015,Life Expectancy,Female,Years,82.75589
4808011,Red Deer,2016,Life Expectancy,Female,Years,82.95114
4808011,Red Deer,2017,Life Expectancy,Female,Years,83.06124
4808011,Red Deer,2018,Life Expectancy,Female,Years,83.21152
4808011,Red Deer,2019,Life Expectancy,Female,Years,83.35645
4808011,Red Deer,2020,Life Expectancy,Female,Years,83.22499
4808011,Red Deer,2021,Life Expectancy,Female,Years,83.18438
4808011,Red Deer,2022,Life Expectancy,Female,Years,83.23767
4808011,Red Deer,2023,Life Expectancy,Female,Years,83.11811
4808011,Red Deer,2011,Life Expectancy,Male,Years,77.35317
4808011,Red Deer,2012,Life Expectancy,Male,Years,77.46081
4808011,Red Deer,2013,Life Expectancy,Male,Years,77.66614
4808011,Red Deer,2014,Life Expectancy,Male,Years,77.73241
4808011,Red Deer,2015,Life Expectancy,Male,Years,77.89310
4808011,Red Deer,2016,Life Expectancy,Male,Years,78.17058
4808011,Red Deer,2017,Life Expectancy,Male,Years,78.25856
4808011,Red Deer,2018,Life Expectancy,Male,Years,78.22584
4808011,Red Deer,2019,Life Expectancy,Male,Years,78.26612
4808011,Red Deer,2020,Life Expectancy,Male,Years,78.35404
4808011,Red Deer,2021,Life Expectancy,Male,Years,78.13125
4808011,Red Deer,2022,Life Expectancy,Male,Years,77.93085
4808011,Red Deer,2023,Life Expectancy,Male,Years,77.79166
4808011,Red Deer,2011,Life Expectancy,Both,Years,79.96049
4808011,Red Deer,2012,Life Expectancy,Both,Years,79.99808
4808011,Red Deer,2013,Life Expectancy,Both,Years,80.17278
4808011,Red Deer,2014,Life Expectancy,Both,Years,80.20258
4808011,Red Deer,2015,Life Expectancy,Both,Years,80.36607
4808011,Red Deer,2016,Life Expectancy,Both,Years,80.60593
4808011,Red Deer,2017,Life Expectancy,Both,Years,80.69659
4808011,Red Deer,2018,Life Expectancy,Both,Years,80.74002
4808011,Red Deer,2019,Life Expectancy,Both,Years,80.82518
4808011,Red Deer,2020,Life Expectancy,Both,Years,80.80339
4808011,Red Deer,2021,Life Expectancy,Both,Years,80.66868
4808011,Red Deer,2022,Life Expectancy,Both,Years,80.57601
4808011,Red Deer,2023,Life Expectancy,Both,Years,80.42064
4805018,Strathmore,2011,Life Expectancy,Female,Years,81.75000
4805018,Strathmore,2012,Life Expectancy,Female,Years,81.92000
4805018,Strathmore,2013,Life Expectancy,Female,Years,81.81000
4805018,Strathmore,2014,Life Expectancy,Female,Years,81.92000
4805018,Strathmore,2015,Life Expectancy,Female,Years,81.92000
4805018,Strathmore,2016,Life Expectancy,Female,Years,81.92000
4805018,Strathmore,2017,Life Expectancy,Female,Years,82.08000
4805018,Strathmore,2018,Life Expectancy,Female,Years,82.13000
4805018,Strathmore,2019,Life Expectancy,Female,Years,81.96000
4805018,Strathmore,2020,Life Expectancy,Female,Years,81.69000
4805018,Strathmore,2021,Life Expectancy,Female,Years,81.53000
4805018,Strathmore,2022,Life Expectancy,Female,Years,81.25000
4805018,Strathmore,2011,Life Expectancy,Male,Years,76.96000
4805018,Strathmore,2012,Life Expectancy,Male,Years,76.89000
4805018,Strathmore,2013,Life Expectancy,Male,Years,77.20000
4805018,Strathmore,2014,Life Expectancy,Male,Years,77.41000
4805018,Strathmore,2015,Life Expectancy,Male,Years,77.36000
4805018,Strathmore,2016,Life Expectancy,Male,Years,77.32000
4805018,Strathmore,2017,Life Expectancy,Male,Years,77.52000
4805018,Strathmore,2018,Life Expectancy,Male,Years,77.48000
4805018,Strathmore,2019,Life Expectancy,Male,Years,77.12000
4805018,Strathmore,2020,Life Expectancy,Male,Years,76.90000
4805018,Strathmore,2021,Life Expectancy,Male,Years,76.58000
4805018,Strathmore,2022,Life Expectancy,Male,Years,76.21000
4805018,Strathmore,2011,Life Expectancy,Both,Years,79.25000
4805018,Strathmore,2012,Life Expectancy,Both,Years,79.31000
4805018,Strathmore,2013,Life Expectancy,Both,Years,79.43000
4805018,Strathmore,2014,Life Expectancy,Both,Years,79.60000
4805018,Strathmore,2015,Life Expectancy,Both,Years,79.58000
4805018,Strathmore,2016,Life Expectancy,Both,Years,79.55000
4805018,Strathmore,2017,Life Expectancy,Both,Years,79.74000
4805018,Strathmore,2018,Life Expectancy,Both,Years,79.75000
4805018,Strathmore,2019,Life Expectancy,Both,Years,79.48000
4805018,Strathmore,2020,Life Expectancy,Both,Years,79.23000
4805018,Strathmore,2021,Life Expectancy,Both,Years,78.98000
4805018,Strathmore,2022,Life Expectancy,Both,Years,78.65000
4805019,Hussar,2011,Life Expectancy,Female,Years,81.75000
4805019,Hussar,2012,Life Expectancy,Female,Years,81.92000
4805019,Hussar,2013,Life Expectancy,Female,Years,81.81000
4805019,Hussar,2014,Life Expectancy,Female,Years,81.92000
4805019,Hussar,2015,Life Expectancy,Female,Years,81.92000
4805019,Hussar,2016,Life Expectancy,Female,Years,81.92000
4805019,Hussar,2017,Life Expectancy,Female,Years,82.08000
4805019,Hussar,2018,Life Expectancy,Female,Years,82.13000
4805019,Hussar,2019,Life Expectancy,Female,Years,81.96000
4805019,Hussar,2020,Life Expectancy,Female,Years,81.69000
4805019,Hussar,2021,Life Expectancy,Female,Years,81.53000
4805019,Hussar,2022,Life Expectancy,Female,Years,81.25000
4805019,Hussar,2011,Life Expectancy,Male,Years,76.96000
4805019,Hussar,2012,Life Expectancy,Male,Years,76.89000
4805019,Hussar,2013,Life Expectancy,Male,Years,77.20000
4805019,Hussar,2014,Life Expectancy,Male,Years,77.41000
4805019,Hussar,2015,Life Expectancy,Male,Years,77.36000
4805019,Hussar,2016,Life Expectancy,Male,Years,77.32000
4805019,Hussar,2017,Life Expectancy,Male,Years,77.52000
4805019,Hussar,2018,Life Expectancy,Male,Years,77.48000
4805019,Hussar,2019,Life Expectancy,Male,Years,77.12000
4805019,Hussar,2020,Life Expectancy,Male,Years,76.90000
4805019,Hussar,2021,Life Expectancy,Male,Years,76.58000
4805019,Hussar,2022,Life Expectancy,Male,Years,76.21000
4805019,Hussar,2011,Life Expectancy,Both,Years,79.25000
4805019,Hussar,2012,Life Expectancy,Both,Years,79.31000
4805019,Hussar,2013,Life Expectancy,Both,Years,79.43000
4805019,Hussar,2014,Life Expectancy,Both,Years,79.60000
4805019,Hussar,2015,Life Expectancy,Both,Years,79.58000
4805019,Hussar,2016,Life Expectancy,Both,Years,79.55000
4805019,Hussar,2017,Life Expectancy,Both,Years,79.74000
4805019,Hussar,2018,Life Expectancy,Both,Years,79.75000
4805019,Hussar,2019,Life Expectancy,Both,Years,79.48000
4805019,Hussar,2020,Life Expectancy,Both,Years,79.23000
4805019,Hussar,2021,Life Expectancy,Both,Years,78.98000
4805019,Hussar,2022,Life Expectancy,Both,Years,78.65000
4805021,Standard,2011,Life Expectancy,Female,Years,81.75000
4805021,Standard,2012,Life Expectancy,Female,Years,81.92000
4805021,Standard,2013,Life Expectancy,Female,Years,81.81000
4805021,Standard,2014,Life Expectancy,Female,Years,81.92000
4805021,Standard,2015,Life Expectancy,Female,Years,81.92000
4805021,Standard,2016,Life Expectancy,Female,Years,81.92000
4805021,Standard,2017,Life Expectancy,Female,Years,82.08000
4805021,Standard,2018,Life Expectancy,Female,Years,82.13000
4805021,Standard,2019,Life Expectancy,Female,Years,81.96000
4805021,Standard,2020,Life Expectancy,Female,Years,81.69000
4805021,Standard,2021,Life Expectancy,Female,Years,81.53000
4805021,Standard,2022,Life Expectancy,Female,Years,81.25000
4805021,Standard,2011,Life Expectancy,Male,Years,76.96000
4805021,Standard,2012,Life Expectancy,Male,Years,76.89000
4805021,Standard,2013,Life Expectancy,Male,Years,77.20000
4805021,Standard,2014,Life Expectancy,Male,Years,77.41000
4805021,Standard,2015,Life Expectancy,Male,Years,77.36000
4805021,Standard,2016,Life Expectancy,Male,Years,77.32000
4805021,Standard,2017,Life Expectancy,Male,Years,77.52000
4805021,Standard,2018,Life Expectancy,Male,Years,77.48000
4805021,Standard,2019,Life Expectancy,Male,Years,77.12000
4805021,Standard,2020,Life Expectancy,Male,Years,76.90000
4805021,Standard,2021,Life Expectancy,Male,Years,76.58000
4805021,Standard,2022,Life Expectancy,Male,Years,76.21000
4805021,Standard,2011,Life Expectancy,Both,Years,79.25000
4805021,Standard,2012,Life Expectancy,Both,Years,79.31000
4805021,Standard,2013,Life Expectancy,Both,Years,79.43000
4805021,Standard,2014,Life Expectancy,Both,Years,79.60000
4805021,Standard,2015,Life Expectancy,Both,Years,79.58000
4805021,Standard,2016,Life Expectancy,Both,Years,79.55000
4805021,Standard,2017,Life Expectancy,Both,Years,79.74000
4805021,Standard,2018,Life Expectancy,Both,Years,79.75000
4805021,Standard,2019,Life Expectancy,Both,Years,79.48000
4805021,Standard,2020,Life Expectancy,Both,Years,79.23000
4805021,Standard,2021,Life Expectancy,Both,Years,78.98000
4805021,Standard,2022,Life Expectancy,Both,Years,78.65000
4805022,Rockyford,2011,Life Expectancy,Female,Years,81.75000
4805022,Rockyford,2012,Life Expectancy,Female,Years,81.92000
4805022,Rockyford,2013,Life Expectancy,Female,Years,81.81000
4805022,Rockyford,2014,Life Expectancy,Female,Years,81.92000
4805022,Rockyford,2015,Life Expectancy,Female,Years,81.92000
4805022,Rockyford,2016,Life Expectancy,Female,Years,81.92000
4805022,Rockyford,2017,Life Expectancy,Female,Years,82.08000
4805022,Rockyford,2018,Life Expectancy,Female,Years,82.13000
4805022,Rockyford,2019,Life Expectancy,Female,Years,81.96000
4805022,Rockyford,2020,Life Expectancy,Female,Years,81.69000
4805022,Rockyford,2021,Life Expectancy,Female,Years,81.53000
4805022,Rockyford,2022,Life Expectancy,Female,Years,81.25000
4805022,Rockyford,2011,Life Expectancy,Male,Years,76.96000
4805022,Rockyford,2012,Life Expectancy,Male,Years,76.89000
4805022,Rockyford,2013,Life Expectancy,Male,Years,77.20000
4805022,Rockyford,2014,Life Expectancy,Male,Years,77.41000
4805022,Rockyford,2015,Life Expectancy,Male,Years,77.36000
4805022,Rockyford,2016,Life Expectancy,Male,Years,77.32000
4805022,Rockyford,2017,Life Expectancy,Male,Years,77.52000
4805022,Rockyford,2018,Life Expectancy,Male,Years,77.48000
4805022,Rockyford,2019,Life Expectancy,Male,Years,77.12000
4805022,Rockyford,2020,Life Expectancy,Male,Years,76.90000
4805022,Rockyford,2021,Life Expectancy,Male,Years,76.58000
4805022,Rockyford,2022,Life Expectancy,Male,Years,76.21000
4805022,Rockyford,2011,Life Expectancy,Both,Years,79.25000
4805022,Rockyford,2012,Life Expectancy,Both,Years,79.31000
4805022,Rockyford,2013,Life Expectancy,Both,Years,79.43000
4805022,Rockyford,2014,Life Expectancy,Both,Years,79.60000
4805022,Rockyford,2015,Life Expectancy,Both,Years,79.58000
4805022,Rockyford,2016,Life Expectancy,Both,Years,79.55000
4805022,Rockyford,2017,Life Expectancy,Both,Years,79.74000
4805022,Rockyford,2018,Life Expectancy,Both,Years,79.75000
4805022,Rockyford,2019,Life Expectancy,Both,Years,79.48000
4805022,Rockyford,2020,Life Expectancy,Both,Years,79.23000
4805022,Rockyford,2021,Life Expectancy,Both,Years,78.98000
4805022,Rockyford,2022,Life Expectancy,Both,Years,78.65000
4805026,Drumheller,2011,Life Expectancy,Female,Years,80.84000
4805026,Drumheller,2012,Life Expectancy,Female,Years,80.60000
4805026,Drumheller,2013,Life Expectancy,Female,Years,80.43000
4805026,Drumheller,2014,Life Expectancy,Female,Years,80.66000
4805026,Drumheller,2015,Life Expectancy,Female,Years,80.51000
4805026,Drumheller,2016,Life Expectancy,Female,Years,80.15000
4805026,Drumheller,2017,Life Expectancy,Female,Years,80.59000
4805026,Drumheller,2018,Life Expectancy,Female,Years,81.03000
4805026,Drumheller,2019,Life Expectancy,Female,Years,80.94000
4805026,Drumheller,2020,Life Expectancy,Female,Years,81.12000
4805026,Drumheller,2021,Life Expectancy,Female,Years,81.17000
4805026,Drumheller,2022,Life Expectancy,Female,Years,80.91000
4805026,Drumheller,2011,Life Expectancy,Male,Years,75.78000
4805026,Drumheller,2012,Life Expectancy,Male,Years,75.98000
4805026,Drumheller,2013,Life Expectancy,Male,Years,76.19000
4805026,Drumheller,2014,Life Expectancy,Male,Years,76.33000
4805026,Drumheller,2015,Life Expectancy,Male,Years,76.13000
4805026,Drumheller,2016,Life Expectancy,Male,Years,75.80000
4805026,Drumheller,2017,Life Expectancy,Male,Years,76.13000
4805026,Drumheller,2018,Life Expectancy,Male,Years,76.07000
4805026,Drumheller,2019,Life Expectancy,Male,Years,76.03000
4805026,Drumheller,2020,Life Expectancy,Male,Years,76.32000
4805026,Drumheller,2021,Life Expectancy,Male,Years,76.40000
4805026,Drumheller,2022,Life Expectancy,Male,Years,76.03000
4805026,Drumheller,2011,Life Expectancy,Both,Years,78.25000
4805026,Drumheller,2012,Life Expectancy,Both,Years,78.24000
4805026,Drumheller,2013,Life Expectancy,Both,Years,78.28000
4805026,Drumheller,2014,Life Expectancy,Both,Years,78.45000
4805026,Drumheller,2015,Life Expectancy,Both,Years,78.25000
4805026,Drumheller,2016,Life Expectancy,Both,Years,77.91000
4805026,Drumheller,2017,Life Expectancy,Both,Years,78.28000
4805026,Drumheller,2018,Life Expectancy,Both,Years,78.42000
4805026,Drumheller,2019,Life Expectancy,Both,Years,78.36000
4805026,Drumheller,2020,Life Expectancy,Both,Years,78.59000
4805026,Drumheller,2021,Life Expectancy,Both,Years,78.64000
4805026,Drumheller,2022,Life Expectancy,Both,Years,78.31000
4805031,Starland County,2011,Life Expectancy,Female,Years,80.84000
4805031,Starland County,2012,Life Expectancy,Female,Years,80.60000
4805031,Starland County,2013,Life Expectancy,Female,Years,80.43000
4805031,Starland County,2014,Life Expectancy,Female,Years,80.66000
4805031,Starland County,2015,Life Expectancy,Female,Years,80.51000
4805031,Starland County,2016,Life Expectancy,Female,Years,80.15000
4805031,Starland County,2017,Life Expectancy,Female,Years,80.59000
4805031,Starland County,2018,Life Expectancy,Female,Years,81.03000
4805031,Starland County,2019,Life Expectancy,Female,Years,80.94000
4805031,Starland County,2020,Life Expectancy,Female,Years,81.12000
4805031,Starland County,2021,Life Expectancy,Female,Years,81.17000
4805031,Starland County,2022,Life Expectancy,Female,Years,80.91000
4805031,Starland County,2011,Life Expectancy,Male,Years,75.78000
4805031,Starland County,2012,Life Expectancy,Male,Years,75.98000
4805031,Starland County,2013,Life Expectancy,Male,Years,76.19000
4805031,Starland County,2014,Life Expectancy,Male,Years,76.33000
4805031,Starland County,2015,Life Expectancy,Male,Years,76.13000
4805031,Starland County,2016,Life Expectancy,Male,Years,75.80000
4805031,Starland County,2017,Life Expectancy,Male,Years,76.13000
4805031,Starland County,2018,Life Expectancy,Male,Years,76.07000
4805031,Starland County,2019,Life Expectancy,Male,Years,76.03000
4805031,Starland County,2020,Life Expectancy,Male,Years,76.32000
4805031,Starland County,2021,Life Expectancy,Male,Years,76.40000
4805031,Starland County,2022,Life Expectancy,Male,Years,76.03000
4805031,Starland County,2011,Life Expectancy,Both,Years,78.25000
4805031,Starland County,2012,Life Expectancy,Both,Years,78.24000
4805031,Starland County,2013,Life Expectancy,Both,Years,78.28000
4805031,Starland County,2014,Life Expectancy,Both,Years,78.45000
4805031,Starland County,2015,Life Expectancy,Both,Years,78.25000
4805031,Starland County,2016,Life Expectancy,Both,Years,77.91000
4805031,Starland County,2017,Life Expectancy,Both,Years,78.28000
4805031,Starland County,2018,Life Expectancy,Both,Years,78.42000
4805031,Starland County,2019,Life Expectancy,Both,Years,78.36000
4805031,Starland County,2020,Life Expectancy,Both,Years,78.59000
4805031,Starland County,2021,Life Expectancy,Both,Years,78.64000
4805031,Starland County,2022,Life Expectancy,Both,Years,78.31000
4805034,Delia,2011,Life Expectancy,Female,Years,80.84000
4805034,Delia,2012,Life Expectancy,Female,Years,80.60000
4805034,Delia,2013,Life Expectancy,Female,Years,80.43000
4805034,Delia,2014,Life Expectancy,Female,Years,80.66000
4805034,Delia,2015,Life Expectancy,Female,Years,80.51000
4805034,Delia,2016,Life Expectancy,Female,Years,80.15000
4805034,Delia,2017,Life Expectancy,Female,Years,80.59000
4805034,Delia,2018,Life Expectancy,Female,Years,81.03000
4805034,Delia,2019,Life Expectancy,Female,Years,80.94000
4805034,Delia,2020,Life Expectancy,Female,Years,81.12000
4805034,Delia,2021,Life Expectancy,Female,Years,81.17000
4805034,Delia,2022,Life Expectancy,Female,Years,80.91000
4805034,Delia,2011,Life Expectancy,Male,Years,75.78000
4805034,Delia,2012,Life Expectancy,Male,Years,75.98000
4805034,Delia,2013,Life Expectancy,Male,Years,76.19000
4805034,Delia,2014,Life Expectancy,Male,Years,76.33000
4805034,Delia,2015,Life Expectancy,Male,Years,76.13000
4805034,Delia,2016,Life Expectancy,Male,Years,75.80000
4805034,Delia,2017,Life Expectancy,Male,Years,76.13000
4805034,Delia,2018,Life Expectancy,Male,Years,76.07000
4805034,Delia,2019,Life Expectancy,Male,Years,76.03000
4805034,Delia,2020,Life Expectancy,Male,Years,76.32000
4805034,Delia,2021,Life Expectancy,Male,Years,76.40000
4805034,Delia,2022,Life Expectancy,Male,Years,76.03000
4805034,Delia,2011,Life Expectancy,Both,Years,78.25000
4805034,Delia,2012,Life Expectancy,Both,Years,78.24000
4805034,Delia,2013,Life Expectancy,Both,Years,78.28000
4805034,Delia,2014,Life Expectancy,Both,Years,78.45000
4805034,Delia,2015,Life Expectancy,Both,Years,78.25000
4805034,Delia,2016,Life Expectancy,Both,Years,77.91000
4805034,Delia,2017,Life Expectancy,Both,Years,78.28000
4805034,Delia,2018,Life Expectancy,Both,Years,78.42000
4805034,Delia,2019,Life Expectancy,Both,Years,78.36000
4805034,Delia,2020,Life Expectancy,Both,Years,78.59000
4805034,Delia,2021,Life Expectancy,Both,Years,78.64000
4805034,Delia,2022,Life Expectancy,Both,Years,78.31000
4805036,Munson,2011,Life Expectancy,Female,Years,80.84000
4805036,Munson,2012,Life Expectancy,Female,Years,80.60000
4805036,Munson,2013,Life Expectancy,Female,Years,80.43000
4805036,Munson,2014,Life Expectancy,Female,Years,80.66000
4805036,Munson,2015,Life Expectancy,Female,Years,80.51000
4805036,Munson,2016,Life Expectancy,Female,Years,80.15000
4805036,Munson,2017,Life Expectancy,Female,Years,80.59000
4805036,Munson,2018,Life Expectancy,Female,Years,81.03000
4805036,Munson,2019,Life Expectancy,Female,Years,80.94000
4805036,Munson,2020,Life Expectancy,Female,Years,81.12000
4805036,Munson,2021,Life Expectancy,Female,Years,81.17000
4805036,Munson,2022,Life Expectancy,Female,Years,80.91000
4805036,Munson,2011,Life Expectancy,Male,Years,75.78000
4805036,Munson,2012,Life Expectancy,Male,Years,75.98000
4805036,Munson,2013,Life Expectancy,Male,Years,76.19000
4805036,Munson,2014,Life Expectancy,Male,Years,76.33000
4805036,Munson,2015,Life Expectancy,Male,Years,76.13000
4805036,Munson,2016,Life Expectancy,Male,Years,75.80000
4805036,Munson,2017,Life Expectancy,Male,Years,76.13000
4805036,Munson,2018,Life Expectancy,Male,Years,76.07000
4805036,Munson,2019,Life Expectancy,Male,Years,76.03000
4805036,Munson,2020,Life Expectancy,Male,Years,76.32000
4805036,Munson,2021,Life Expectancy,Male,Years,76.40000
4805036,Munson,2022,Life Expectancy,Male,Years,76.03000
4805036,Munson,2011,Life Expectancy,Both,Years,78.25000
4805036,Munson,2012,Life Expectancy,Both,Years,78.24000
4805036,Munson,2013,Life Expectancy,Both,Years,78.28000
4805036,Munson,2014,Life Expectancy,Both,Years,78.45000
4805036,Munson,2015,Life Expectancy,Both,Years,78.25000
4805036,Munson,2016,Life Expectancy,Both,Years,77.91000
4805036,Munson,2017,Life Expectancy,Both,Years,78.28000
4805036,Munson,2018,Life Expectancy,Both,Years,78.42000
4805036,Munson,2019,Life Expectancy,Both,Years,78.36000
4805036,Munson,2020,Life Expectancy,Both,Years,78.59000
4805036,Munson,2021,Life Expectancy,Both,Years,78.64000
4805036,Munson,2022,Life Expectancy,Both,Years,78.31000
4805038,Morrin,2011,Life Expectancy,Female,Years,80.84000
4805038,Morrin,2012,Life Expectancy,Female,Years,80.60000
4805038,Morrin,2013,Life Expectancy,Female,Years,80.43000
4805038,Morrin,2014,Life Expectancy,Female,Years,80.66000
4805038,Morrin,2015,Life Expectancy,Female,Years,80.51000
4805038,Morrin,2016,Life Expectancy,Female,Years,80.15000
4805038,Morrin,2017,Life Expectancy,Female,Years,80.59000
4805038,Morrin,2018,Life Expectancy,Female,Years,81.03000
4805038,Morrin,2019,Life Expectancy,Female,Years,80.94000
4805038,Morrin,2020,Life Expectancy,Female,Years,81.12000
4805038,Morrin,2021,Life Expectancy,Female,Years,81.17000
4805038,Morrin,2022,Life Expectancy,Female,Years,80.91000
4805038,Morrin,2011,Life Expectancy,Male,Years,75.78000
4805038,Morrin,2012,Life Expectancy,Male,Years,75.98000
4805038,Morrin,2013,Life Expectancy,Male,Years,76.19000
4805038,Morrin,2014,Life Expectancy,Male,Years,76.33000
4805038,Morrin,2015,Life Expectancy,Male,Years,76.13000
4805038,Morrin,2016,Life Expectancy,Male,Years,75.80000
4805038,Morrin,2017,Life Expectancy,Male,Years,76.13000
4805038,Morrin,2018,Life Expectancy,Male,Years,76.07000
4805038,Morrin,2019,Life Expectancy,Male,Years,76.03000
4805038,Morrin,2020,Life Expectancy,Male,Years,76.32000
4805038,Morrin,2021,Life Expectancy,Male,Years,76.40000
4805038,Morrin,2022,Life Expectancy,Male,Years,76.03000
4805038,Morrin,2011,Life Expectancy,Both,Years,78.25000
4805038,Morrin,2012,Life Expectancy,Both,Years,78.24000
4805038,Morrin,2013,Life Expectancy,Both,Years,78.28000
4805038,Morrin,2014,Life Expectancy,Both,Years,78.45000
4805038,Morrin,2015,Life Expectancy,Both,Years,78.25000
4805038,Morrin,2016,Life Expectancy,Both,Years,77.91000
4805038,Morrin,2017,Life Expectancy,Both,Years,78.28000
4805038,Morrin,2018,Life Expectancy,Both,Years,78.42000
4805038,Morrin,2019,Life Expectancy,Both,Years,78.36000
4805038,Morrin,2020,Life Expectancy,Both,Years,78.59000
4805038,Morrin,2021,Life Expectancy,Both,Years,78.64000
4805038,Morrin,2022,Life Expectancy,Both,Years,78.31000
4805041,Kneehill County,2011,Life Expectancy,Female,Years,81.96583
4805041,Kneehill County,2012,Life Expectancy,Female,Years,81.78998
4805041,Kneehill County,2013,Life Expectancy,Female,Years,81.69807
4805041,Kneehill County,2014,Life Expectancy,Female,Years,81.80849
4805041,Kneehill County,2015,Life Expectancy,Female,Years,81.97812
4805041,Kneehill County,2016,Life Expectancy,Female,Years,82.02426
4805041,Kneehill County,2017,Life Expectancy,Female,Years,82.35981
4805041,Kneehill County,2018,Life Expectancy,Female,Years,82.81661
4805041,Kneehill County,2019,Life Expectancy,Female,Years,82.94557
